scientific name,common names,hymenium type,cap shape,gill type,stipe type,spore color,ecological type,edible,URL
amanita muscaria,"fly agaric,fly amanita",gills,"convex, flat",free,"ring,volva",white,mycorrhizal,"poisonous, psychoactive",https://en.wikipedia.org/wiki/Amanita_muscaria
psilocybe cubensis,"magic mushroom,shroom,golden halo,golden teacher,cube,gold cap,stropharia cubensis",gills,"convex, flat","adnate, adnexed",ring,purple,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_cubensis
lentinula edodes,"shiitake,chinquapin,chinese/black forest mushrooms",gills,convex,free,bare,"white, buff",saprotrophic,choice,https://en.wikipedia.org/wiki/Shiitake
amanita phalloides,death cap,gills,"convex, flat",free,"ring,volva",white,mycorrhizal,deadly,https://en.wikipedia.org/wiki/Amanita_phalloides
cantharellus,chanterelles,ridges,infundibuliform,decurrent,bare,yellow,mycorrhizal,"choice, edible",https://en.wikipedia.org/wiki/Cantharellus
omphalotus olearius,jack-o'-lantern mushroom,gills,infundibuliform,decurrent,bare,yellow,saprotrophic,poisonous,https://en.wikipedia.org/wiki/Omphalotus_olearius
gyromitra esculenta,none,smooth,convex,none,bare,"yellow, buff","saprotrophic, mycorrhizal","deadly, choice",https://en.wikipedia.org/wiki/Gyromitra_esculenta
agaricus bisporus,"cultivated mushroom,chestnut,portobello,portabellini,button,champignon de paris",gills,convex,free,ring,brown,saprotrophic,choice,https://en.wikipedia.org/wiki/Agaricus_bisporus
boletus edulis,"cep,penny bun,porcino,porcini",pores,convex,adnate,bare,brown,mycorrhizal,choice,https://en.wikipedia.org/wiki/Boletus_edulis
amanita pantherina,"panther cap,false blusher,panther amanita",gills,flat,free,"ring,volva",white,mycorrhizal,"poisonous, psychoactive",https://en.wikipedia.org/wiki/Amanita_pantherina
tricholoma matsutake,matsutake,gills,convex,adnexed,ring,white,mycorrhizal,choice,https://en.wikipedia.org/wiki/Matsutake
psilocybe semilanceata,liberty cap,gills,"conical, umbonate","adnate, adnexed",bare,"brown, purple",saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_semilanceata
psilocybe cyanescens,"wavy cap,potent psilocybe",gills,umbonate,"adnate, subdecurrent",bare,"blackish-brown, purple",saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_cyanescens
armillaria mellea,honey fungus,gills,"convex, flat","adnate, subdecurrent",ring,white,parasitic,"edible, allergic",https://en.wikipedia.org/wiki/Armillaria_mellea
